"country","year","Y","SE_var","Region","source_cov","source_cov2","cov1","cov2","P_Region"
"Country 1",1990,NA,NA,"Region 7",0,0,-0.394808197840634,0.155873513082169,"Region 7"
"Country 1",1991,NA,NA,"Region 7",0,0,-0.392571380632663,0.154112288891835,"Region 7"
"Country 1",1992,NA,NA,"Region 7",0,0,-0.389768723513429,0.151919657829288,"Region 7"
"Country 1",1993,NA,NA,"Region 7",0,0,-0.389450778325456,0.151671908738304,"Region 7"
"Country 1",1994,NA,NA,"Region 7",0,0,-0.391079639119457,0.152943284133805,"Region 7"
"Country 1",1995,NA,NA,"Region 7",0,0,-0.391261580539592,0.15308562440634,"Region 7"
"Country 1",1996,NA,NA,"Region 7",0,0,-0.391444550912414,0.153228836439022,"Region 7"
"Country 1",1997,0.122421157415292,0.00547738125911949,"Region 7",0,0,-0.391517591983731,0.153286024832739,"Region 7"
"Country 1",1998,NA,NA,"Region 7",0,0,-0.391679273945256,0.153412653638283,"Region 7"
"Country 1",1999,NA,NA,"Region 7",0,0,-0.391803159809209,0.153509716036481,"Region 7"
"Country 1",2000,NA,NA,"Region 7",0,0,-0.391440303360438,0.153225511094912,"Region 7"
"Country 1",2001,NA,NA,"Region 7",0,0,-0.390202940441455,0.152258334729158,"Region 7"
"Country 1",2002,NA,NA,"Region 7",0,0,-0.384422448855326,0.147780619183926,"Region 7"
"Country 1",2003,NA,NA,"Region 7",0,0,-0.377903820539981,0.142811297578714,"Region 7"
"Country 1",2004,0.0926790199643279,0.00437391136868904,"Region 7",0,0,-0.37150263463424,0.138014207540182,"Region 7"
"Country 1",2005,NA,NA,"Region 7",0,0,-0.364389633155218,0.132779804750995,"Region 7"
"Country 1",2006,NA,NA,"Region 7",0,0,-0.357104249304974,0.127523444871669,"Region 7"
"Country 1",2007,NA,NA,"Region 7",0,0,-0.348450149360475,0.121417506589338,"Region 7"
"Country 1",2008,NA,NA,"Region 7",0,0,-0.339924492584662,0.11554866065894,"Region 7"
"Country 1",2009,NA,NA,"Region 7",0,0,-0.330122378679792,0.108980784905204,"Region 7"
"Country 1",2010,NA,NA,"Region 7",0,0,-0.320207925229648,0.102533115379876,"Region 7"
"Country 1",2011,NA,NA,"Region 7",0,0,-0.310768099297663,0.0965768115410823,"Region 7"
"Country 1",2012,NA,NA,"Region 7",0,0,-0.300993159553142,0.0905968820977834,"Region 7"
"Country 1",2013,0.103707640227589,0.00319397076964378,"Region 7",0,0,-0.29136628175269,0.0848943101423881,"Region 7"
